
============================================================
  DEVICE: SW02-PoE-48P-HALA-2  [10.0.100.12]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:00


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level informational, 15141 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 15198 messages logged, xml disabled,
                     filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 15145 message lines logged

Log Buffer (1000000 bytes):
Interface GigabitEthernet1/0/11, changed state to down
Jan 23 11:39:09.090: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 11:39:12.063: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 11:39:13.064: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 13:44:36.253: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 13:44:37.255: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 13:44:39.918: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 13:44:42.613: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 13:44:45.560: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 13:44:46.561: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 13:44:47.814: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 13:44:48.816: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 13:44:51.742: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 13:44:52.748: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:01:26.866: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:01:27.867: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:01:30.285: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:01:33.053: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:01:36.230: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:01:39.245: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:01:42.207: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:01:43.209: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:46:56.522: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:46:57.528: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:47:01.712: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:47:03.789: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:47:06.950: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
