
============================================================
  DEVICE: SW06-PoE-24P-BIURO-1-P1  [10.0.100.16]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:16


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level emergencies, 0 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 40087 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 40053 message lines logged
        Logging Source-Interface:       VRF Name:

Log Buffer (1000000 bytes):
-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:28:09.759: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:28:11.767: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:28:14.561: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:28:16.569: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:28:19.479: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:28:22.609: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:28:25.666: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:28:26.668: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:32:21.344: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:32:23.357: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:32:26.503: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:32:29.948: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:32:35.768: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:32:36.769: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:34:59.623: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:35:00.629: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:35:02.805: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:35:09.585: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:35:12.605: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:35:13.606: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
